Name,Location,Contact Number
Valnt Bistro,,
Unit Plet,,
Jasper Restaurant,"Thabahi Road, Kathmandu",9803050739
4Stories,"Saat Ghumti Marg, Kathmandu",9808790813
Supper Club,"Chaksibari, Kathmandu",9802340136
Kathmandu Grill Restaurant,"Chaksibari, Kathmandu",014700321
The Delicious Pizza house Nepal,"Paknajol Marg, Kathmandu",01530799
Rosemary Kitchen and Coffee,"JP Road, Kathmandu",015326066
The old house,"The Park, Durbarmarg, Kathmandu",9705123125
Lavie Garden,"Ramhiti, Bouddha, Kathmandu",980896173
The Best Kathmandu Kitchen,"Thamel, Bhagwatisthan, Kathmandu",014513355
Mustang Thakali by State III,"Aananda Bhawan, Uttardhoka, Kathmandu",9801876359
OR2k Restaurant,"Mandala Street, Kathmandu",014522097
Ts your palate,"Z-street, Kathmandu",9802264388
Carpe Diem Lounge & Bakery,"Kaldhara pipalbot, Thamel, Kathmandu",014989042
Vinoliva Restaurant & Bar,"Narayanhiti Palace Museum North Gate, Kathmandu",9820860810
Roadhouse Cafe,"Bouddha, Kathmandu",015421753
Yala Cafe & Coffee Shop,"Kwabahal, Thamel Marg, Kathmandu",015367554
Satkar Fine Dine,"MaitriMarg, Lalitpur",9767979522
Thamel Kitchen,"Manakamana Marg, Kathmandu",014443040
Gaia Restaurant,"Thamel, Kathmandu",9851230448
Cafe Mitra,"Thamel Marg, Kathmandu",015356336
Mulchowk Restaurant,"Babarmahal, Kathmandu",015914672
Jimbu Thakali & Capital Grill,"Jhamsikhel RD, Lalitpur",015444011
Regal Flavors Restro and Bar,"Durbarmarg, Kathmandu",9841387325
E Revolving Indian Cuisine and Restaurant,"Ratna Plaza, Dharma mag, Kathmandu",015327884
Yaangling Tibetian Restaurant,"Kaldhara Marg, Kathmandu",015357408
The Ship Restaurant Bar and Lounge,"Baluwatar, Kathmandu",014332048
Didi Upatyaka & Bar,"Tangalwood, Kathmandu",9765231349
Capital Grill,"Tangalwood, Kathmandu",014537674
Chimney Restaurant,"Durbarmarg, Kathmandu",014248999
Nepali Chulo,"Lazimpat, Kathmandu",014002009
Apricus Garden Restaurant,"Gahanapokhari Marg, Kathmandu",9761888741
Third Eye Restaurant,"JP Road, Kathmandu",015360289
Hokkaido House,"International Club, Lalitpur",9801029933
Krishnarpan Nepali Restaurant,"Battisputali, Kathmandu",014579488
Tahina Terrace,"Manakamana Marg, Kathmandu",015970300
Roadhouse Cafe,"Jhamsikhel, Lalitpur",015421755
Sekwa By Kilo,"Kalanki, Kathmandu",9802349767
Thamel Doner Kebab,"Thamel, Kathmandu",9841411215
Bagaicha – Best Fine Dining Restaurant in Kathmandu,"Thirbam Sadak, Kathmandu",014541246
Le Sherpa Restaurant,"Maharajganj, Kathmandu",014528604
Chicken Station Jhamsikhel,"Jhamsikhel RD, Lalitpur",9801390614
Khohang - Taste of Thakali,"Amrit Marg, Kathmandu",014513724
Yala Garden Cafe & Restro,"Kwalkhu, Lalitpur",9704833506
Marcopolo Restaurant,"Chhaya Center, Kathmandu",015252282
Cold and Hot Spicy Noodles,"Bouddha Rd, Kathmandu",9818924679
Bitters & CO,"Lazimpat, Kathmandu",9802361001
Shandaar Momo,"Shreenagar Marg, Kathmandu",9741662356
Janakpur Dahi Lassi Bhandaar,"Indrachowk, Asan, Kathmandu",9231234567
Alice Receptions,"Suvarna Shamsher Marg, Kathmandu",014529207
Biryani adda,"Radhe Radhe, Bhaktapur",015914778
Hotel Vaishali,"Bhagwati Marg, Kathmandu",014700848
Thamel Eco Resort,"Thamel, Kathmandu",015315863
Kumari Boutique Hotel,"ChusyaGalli, Kathmandu",015315617
