rating,cleaned_review
5,Service berry fast
5,Good service with delicious food love it
5,excellent thakali set
5,Excellent Dahl Bat
5,Great hospitality 
5,"Great ambiance, great food"
5,Very nice ambiance 
5,Beatiful place
5,Excellent service 
5,Foods and related service is very good especially the service offered by the staffs of walnut Bistro......is up to the mark....my friends and his family members are happy to take dinner in such a memorable atmosphere.... Thanks
1,"Worst prawn not recommended at all, they should take this out from the menu or change the chef"
5,"#Prakash dai
GREAT atmosphere AND GREAT hospitality"
5,Wow jungle vibes
5,nice food
5,Verry excellent food and service
5,Nice food
5,Excellent service
5,Excellent food
5,Excellent food
5,Nice
5,Good
5,Good service Prakash bhai
5,Excellent service by Prakash bhai
5,Good environment  and good food
5,Good service great atmosphere
5,"Excellent
PRALQSH BHAI GOOD"
5,excllent service Prakash bhai
5,"Good
Prakash bhai"
5,Excellent service by Prakash bhai
5,Good
5,Excellent service
5,"Good food and servuce
Prakash bhai"
5,Nice food
5,"Excellent
Prakash bhai"
5,"Good service
@Prakashnbhai"
5,Good
5,"Excllent service.
prakash bhai"
5,"Excllent
$Prakash bhai"
5,"Good service
#Prakash bhai"
4,Nice place to dine in and enjoy
5,"Good service amd great atmosphere
Thanks Prakash bhai"
5,Good servoce by Prakash bhai
5,Excllent service by Prakashbbhai
5,Excellent service with good food thanks Prakash bhai
5,"Excllent.
Prakash good service"
5,Excllent Thanks Prakash bhai
5,Good service Prakash bhai
5,Good
5,"Excellent
PRAKASH BHAI"
5,"Excllent
Prakash bhai"
5,"Excllent
Prakash bhai"
5,Verry nice
5,"Excellent
Prakash bhai"
5,Food is very excellent
5,Nice
5,"Excellent
Prakash bhai"
5,Place very Nice. Food quality good. Behavior and service satisfied. Love this. 
5,nice food
5,Everything good
5,"The atmosphere is good and kind of naturist. The food was good, hope I will meet the chief. For me it is much good."
5,The ambience of the restaurant is too good. It gives a different vibe. The food is also delicious & they provide best food in Kathmandu City. They just have to work on the air ventilation.
5,Nice
5,Excellent.
5,Nice food and BBQ
5,Good
5,Today our team has lunch this restrurent. And take  lunch.the food are very testy and unveirement is nice also sirvice man is prokas extraordinary.
5,Good food thanks Prakash bhai
5,Nice food
5,Everything is good
5,Excellent service with good food
5,Awesome Place
5,Goo
5,"Nice place
Nice service
Little expensive but good food and drinks"
5,Absolutely delicious! Very nice stuff and so so child friendly. We loved everything about about the place and will definitely be back.
